RespondentID	CollectorID	StartDate	EndDate	IP Address	Email Address	First Name	LastName	Custom Data	DNA_RNA_protein sequence	DNA_RNA_Protein structure	Pathways_interactions_networks	Images	Phenotype	Ecological	Other_types	Work_with_large_datasets__now	Work_with_large_datasets__3_years	Updated_analysis_software__important_now	Updated_analysis_software__Your_institution_or_national_service_meets_this_need	Updated_analysis_software__important_3_years	Multi-step_analysis_workflows_or_pipelines__important_now	Multi-step_analysis_workflows_or_pipelines__Your_institution_or_national_service_meets_this_need	Multi-step_analysis_workflows_or_pipelines__important_3_years	High-performance_or_cluster_computing__important_now	High-performance_or_cluster_computing__Your_institution_or_national_service_meets_this_need	High-performance_or_cluster_computing__important_3_years	Cloud_computing__important_now	Cloud_computing__Your_institution_or_national service_meets_this_need	Cloud_computing__important_3_years	Sufficient_data_storage__important_now	Sufficient_data_storage__Your_institution_or_national_service_meets_this_need	Sufficient_data_storage__important_3_years	Data_discovery__important_now	Data_discovery__Your_institution_or_national_service_meets_this_need	Data_discovery__important_3_years	Share_data_with_colleagues__important_now	Share_data_with_colleagues__Your_institution_or_national_service_meets_this_need	Share_data_with_colleagues__important_3_years	Publish_data__important_now	Publish_data__Your_institution_or_national_service_meets_this_need	Publish_data__important_3_years	Data_volume_per_month	Sharing_with_whom_and_how	Training_bioinformatics_and_analysis_support__important_now	Training_bioinformatics_and_analysis_support__Your_institution_or_national_service_meets_this_need	Training_bioinformatics_and_analysis_support__important_3_years	Training_basic_programming_scripting__important_now	Training_basic_programming_scripting__Your_institution_or_national_service_meets_this_need	Training_basic_programming_scripting__important_3_years	Training_data_management_metadata__important_now	Training_data_management_metadata__Your_institution_or_national_service_meets_this_need	Training_data_management_metadata__important_3_years	Training_integrating_multiple_datatypes__important_now	Training_integrating_multiple_datatypes__Your_institution_or_national_service_meets_this_need	Training_integrating_multiple_datatypes__important_3_years	Training_scaling_analysis_cloud_HPC__important_now	Training_scaling_analysis_cloud_HPC__Your_institution_or_national_service_meets_this_need	Training_scaling_analysis_cloud_HPC__important_3_years	Tools_or_workflows_most_like_provided	Bioinformatics_skill_level	Agriculture	Biochemistry	Bioengineering	 Biogeography	Bioinformatics	Biomechanics	Biomedical research	"Biophysics, Biotechnology"	Botany	Cell biology	Cognitive biology	 Conservation biology	Developmental biology	Ecology	Environmental biology	Epidemiology	Evolutionary biology	Genetics	Hematology	Integrative biology	Marine biology	Microbiology	Molecular biology	 Neurobiology	Population biology	Paleontology	Pathology	Physiology	Phytopathology	Psychobiology	Structural biology	Zoology	Other_discipline	Plants	Animals	Microbes	Human	Non-model Organisms	Position	Position_other	Institute	State	Comment	Email_yes	Email_address
4953423714	90226637	9/06/16 0:34	9/06/16 0:40	masked					yes			yes	yes			yes		YES	YES	YES	NO	I don't know	I don't know	YES	YES	YES	YES	I don't know	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	NO	I don't know	I don't know	100GB-1TB	collaborators; colleagues in multi-centre studies - would share by uploading to specific websites	YES	NO	YES	NO	NO	YES	YES	NO	YES	YES	NO	YES	I don't know	I don't know	I don't know	"training and expert consultation on working with large, high dimensional datasets using both supervised and unsupervised machine learning and clustering algorithms"	Intermediate											Cognitive biology		Developmental biology											Neurobiology						Psychobiology							human		Researcher (PI)		UNSW	NSW		yes I want to receive the update on the survey findings	masked
4951981389	90226637	9/05/16 3:38	9/05/16 3:41	masked					yes		yes					yes		YES	NO	YES	YES	NO	YES	YES	NO	YES	YES	NO	YES	YES	I don't know	YES	YES	YES	YES	YES	I don't know	YES	YES	YES	YES	100GB-1TB	Currently only via public repositories	YES	NO	YES	YES	NO	YES	YES	NO	YES	YES	NO	YES		NO	YES	Training with ongoing support	Beginner																			Hematology				Molecular biology														human		researcher (post-doc)		UNSW	NSW		yes I want to receive the update on the survey findings	masked
4950902518	88068505	9/04/16 0:22	9/04/16 0:48	masked					yes		yes	yes			"FACS data, genes generated from CrispR"	yes		YES	I don't know	YES	I don't know	I don't know	YES	YES	I don't know	YES	I don't know	I don't know	YES	YES	I don't know	YES	YES	I don't know	YES	YES	I don't know	YES	YES	I don't know	YES	10GB	"Other lab members by evernote, collaborators by dropbox/USB/if small enough email."	YES	I don't know	YES	I don't know	I don't know	I don't know	YES	I don't know	YES	I don't know	I don't know	YES	I don't know	I don't know	I don't know	"training in cluster analysis packages, which may already exist "	Beginner		Biochemistry																					Molecular biology										Immunology		animals		human		Other (please specify)	RA 	Bio21	Vic	First year in this institute & not familiar with what is available or how to find it	yes I want to receive the update on the survey findings	masked
4945289790	90226637	9/01/16 3:09	9/01/16 3:20	masked					yes		yes					yes		YES	NO	YES	YES	NO	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	100GB-1TB	"collaborators, colleagues, I use DNA nexus for genomics data sharing"	YES	YES	YES	YES	YES	YES	I don't know	NO	I don't know	I don't know	NO	I don't know	YES	NO	YES	"need more pipelines for long read sequencing (minion, pacbio) analysis. Extra workshops are always helpful - although some are available I would like to see more -specifically Linux/Perl/R scripting tutorials for genomics analysis"	Intermediate		Biochemistry			Bioinformatics																		Molecular biology												animals		human		researcher (post-doc)		Garvan Institute	NSW	"workshops for basic programming skills (R/bash/Perl) seem to be well attended, I would like more intermediate workshops targeted to genomics analysis"	yes I want to receive the update on the survey findings	masked
4945234201	90226637	9/01/16 2:27	9/01/16 2:32	masked					yes							yes		YES	NO	YES	YES	NO	YES	YES	NO	YES	YES	NO	YES	YES	YES	YES	YES	NO	YES	YES	YES	YES	YES	NO	YES	Greater than 1TB	Other collaborative institutes. I usually host on my machine via http or upload via ftp.	YES	NO	YES	YES	NO	YES	YES	NO	YES	YES	NO	YES	YES	NO	YES	"Current best practice for genomic workflows: whole genome sequencing, RNA-Seq etc."	Advanced					Bioinformatics													Genetics															Epigenetics		animals		human		researcher (post-doc)			NSW			masked
4943016242	90226637	08/31/2016 07:44:23	08/31/2016 07:50:22	masked					yes		yes		yes			yes		YES	NO	YES	YES	NO	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	10-100GB	international colleagues using the cloud services	YES	YES	YES	YES	YES	YES	YES	NO	YES	YES	NO	YES	YES	NO	YES	"The Galaxy project locally installed, "	Intermediate													Developmental biology					Genetics					Molecular biology											plants					researcher (post-doc)		University of Tasmania	Tas		yes I want to receive the update on the survey findings	masked
4942861201	90226637	08/31/2016 05:23:25	08/31/2016 05:27:53	masked					yes		yes			yes		yes		YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	I don't know	Scientific community through online databases or supplementary journal material	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	"HPC, R"	Beginner														Ecology							Marine biology															microbes			researcher (post-doc)		University of New South Wales	NSW			masked
4942860458	90226637	08/31/2016 05:21:47	08/31/2016 05:26:27	masked					yes			yes	yes			no	Yes	YES	I don't know	YES	YES	NO	YES	I don't know	I don't know	I don't know	YES	NO	YES	YES	YES	YES	YES	NO	YES	YES	NO	YES	YES	NO	YES	10GB	Collaborators	YES	NO	YES	YES	NO	YES	YES	NO	YES	YES	NO	YES	YES	NO	YES	Not sure	Never used bioinformatics tools							Biomedical research											Genetics									Pathology						Immunology				human		researcher (post-doc)			NSW			masked
4942856694	90226637	08/31/2016 05:15:09	08/31/2016 05:23:08	masked								yes				yes		YES	YES	YES	YES	NO	YES	YES	NO	YES	YES	NO	YES	YES	NO	YES	YES	NO	YES	YES	YES	YES	I don't know	I don't know	YES	10-100GB	"Colleagues, using CloudStor.aarnet.edu.au"	NO	I don't know	NO	YES	NO	YES	YES	I don't know	YES	YES	NO	YES	YES	I don't know	YES	"MRI image analysis software, pipelines, and training"	Never used bioinformatics tools																								Neurobiology													human		researcher (post-doc)		"School of Psychology, UNSW"	NSW	"EMBL-ABR does not seem to support MRI image datasets, but these are widely-collected across research institutions"	yes I want to receive the update on the survey findings	masked
4942724842	90226637	08/31/2016 03:13:48	08/31/2016 03:21:17	masked							yes		yes			no		YES	I don't know	YES	NO			NO			NO			YES	YES	YES	YES	I don't know	YES	YES	I don't know	YES	NO			10-100GB	Collaborators	YES	NO	YES	YES	NO	YES	YES	NO	YES	YES	NO	YES	NO			"R, Linux, Network analysis using things like cytoscape, pathway analysis, GWAS"	Beginner																								Neurobiology											animals		human		PhD student		"Charles Perkins Centre, University of Sydney"	NSW	I think that bioninformatics training should be more heavily integrated to the PhD training.		masked
